; first all offensive spells

#skill
affects: "Barrier" "The barrier dissolves." 12 { apply_ac -2 }
hitvict: You are surrounded by a strange $3barrier$6.
hitroom: A strange $3barrier$6 surrounds $N.
#end

#skill
type: spell
name: Blindness
rounds: 9
minlevel: 16
mana: 18
target: 1
function: spell_generic
affects: "Blindness" "You can see again!" 12 { apply_affect 1 }
hitchar: You have succesfully blinded $N!
hitvict: You are blinded!
hitroom: $N tears at $S eyes, blinded!
#end

#skill
type: spell
name: Cure Blindness
rounds: 11
minlevel: 22
mana: 20
target: 4
function: spell_generic
affects: "" "" 0 { apply_stripname Blindness }
#end

#skill
type: spell
name: Poison
rounds: 10
minlevel: 16
mana: 23
target: 1
function: spell_poison
#end

#skill
type: spell
name: Cure Poison
rounds: 11
minlevel: 22
mana: 20
target: 4
function: spell_generic
affects: "" "" 0 { apply_stripname Poison }
hitchar: You have been cured of the poison.
#end

#skill
type: spell
name: Detect Invisible
rounds: 10
minlevel: 30
mana: 28
target: 3
function: spell_generic
hitchar: Your vision extends beyond the normal.
hitroom: $N's eyes glow an eerie color.
affects: "Detect Invisible" "You can no longer spot invisible things." 16 { apply_affect 4 }
#end

#skill
type: spell
name: Enchantment
rounds: 12
minlevel: 40
mana: 45
target: 3
function: spell_generic
hitchar: You feel enchanted by a strange power.
hitroom: $N looks as if $E is enchanted.
affects: "Enchantment" "You no longer feel enchanted." 12 { apply_affect 8192 }
#end

#skill
type: spell
name: Healing
rounds: 10
minlevel: 34
mana: 40
target: 4
function: spell_generic
hitvict: You look a lot better.
hitroom: $N looks a lot better.
affects: "" "" 0 { apply_hp 100 }
#end

#skill
type: spell
name: Heal Light
rounds: 5
minlevel: 5
mana: 8
target: 4
function: spell_generic
hitroom: $N looks a bit better.
hitvict: You look a bit better.
hitroom: $N looks a bit better.
affects: "" "" 0 { apply_hp 12 }
#end

#skill
type: spell
name: Identify
rounds: 14
minlevel: 37
mana: 50
target: 7
function: spell_identify
#end

#skill
type: spell
name: Infravision
rounds: 10
minlevel: 30
mana: 35
target: 3
function: spell_generic
hitchar: Your eyes glow red.
hitroom: $N's eyes glow a dark red.
affects: "Infravision" "Your eyes look normal again." 12 { apply_affect 32 }
#end


#skill
type: spell
name: Invisibility
rounds: 11
minlevel: 35
mana: 45
target: 3
function: spell_generic
hitchar: You slowly fade away into invisibility.
hitroom: $N waves $S hands and fades away.
affects: "Invisibility" "Your invisibility slowly ebbs away." 12 { apply_affect 2 }
#end

#skill
type: spell
name: Levitation
rounds: 11
minlevel: 20
mana: 20
target: 3
function: spell_generic
affects: "Levitation" "You gently float down to the ground." 10 { apply_affect 128 }
hitchar: You are lifted off the ground by the wind.
hitroom: A gust of wind lifts $N off the ground.
#end

#skill
type: spell
name: Protection
rounds: 6
minlevel: 5
mana: 10
target: 4
function: spell_generic
affects: "Protection" "You no longer feel protected." 12 { apply_ac -1 }
hitvict: You feel protected.
hitroom: $N looks protected.
#end

#skill
type: spell
name: Refresh
rounds: 9
minlevel: 18
mana: 30
target: 4
function: spell_refresh
#end

#skill
Type: Spell
name: Summon
Rounds: 18
Minlevel: 80
Mana: 80
Target: 6
Function: spell_summon
#end

#skill
type: spell
name: Word of Recall
rounds: 16
minlevel: 16
mana: 60
target: 3
function: spell_recall
#end

; then the skills

#skill
Type: Skill
Name: Bash
Minlevel: 6
#end

#skill
Type: Skill
Name: Kick
Minlevel: 5
dammsg: kick
#end

#skill
type: Skill
name: Enhanced Damage
minlevel: 28
#end

#skill
type: Skill
name: Slashing Weapons
minlevel: 2
#end

#skill
type: Skill
name: Piercing Weapons
minlevel: 4
#end

#skill
type: skill
name: Whipping Weapons
minlevel: 5
#end

#skill
type: skill
name: Concussion Weapons
minlevel: 6
#end

#skill
type: skill
name: Sneaking
minlevel: 9
#end

#skill
type: skill
name: Swim
minlevel: 13
#end

#skill
type: skill
name: Searching
minlevel: 10
#end

#skill
type: skill
name: Dual Wield
minlevel: 18
#end

#skill
type: skill
name: Backstab
minlevel: 16
dammsg: backstab
#end

#skill
type: skill
name: Circle
minlevel: 18
#end

#skill
type: skill
name: Rescue
minlevel: 15
#end

#skill
type: skill
name: Dodge
minlevel: 10
#end

#skill
type: skill
name: Track
minlevel: 20
#end

#skill
type: Skill
name: Second Attack
prereq: Slashing Weapons
minlevel: 12
#end

#skill
type: Skill
name: Third Attack
minlevel: 24
#end

#skill
type: Skill
name: Fourth Attack
minlevel: 32
#end

#skill
type: Skill
name: Fifth Attack
minlevel: 42
#end

#skill
type: Skill
name: Peek
minlevel: 20
#end

#skill
type: Skill
name: Hide
minlevel: 20
#end


